start_time,end_time,action,is_fall
0,5,None,False
6,9,Stand,False
10,24,None,False
25,36,Stand,False
37,54,None,False
55,56,Stand,False
56,64,None,False
65,71,Stand,False
72,73,Stand-Sit,False
74,84,Sit,False
85,85,Sit-Stand,False
86,92,Stand,False
93,99,None,False
100,104,Stand,False
105,105,Stand-Sit,False
106,115,Sit,False
116,116,Sit-Stand,False
117,120,Stand,False
121,121,None,False
122,136,Stand,False
137,137,Stand-Sit,False
138,146,Sit,False
147,147,Sit-Stand,False
148,150,Stand,False
151,151,Stand-Sit,False
152,154,Sit,False
155,155,Sit-Stand,False
156,156,Stand,False
157,157,Stand-Sit,False
158,159,Sit,False
160,160,Sit-Stand,False
161,161,Stand-Sit,False
162,162,Sit-Stand,False
163,163,Stand,False
164,164,Stand-Sit,False
165,167,Sit,False
168,168,Sit-Stand,False
169,180,Stand,False
181,181,None,False
182,184,Stand-Lie,False
185,185,Lie-Stand,False
186,193,Stand,False
194,198,None,False
199,200,Stand-Sit,True
201,201,Sit,True
202,202,Sit-Stand,False
203,206,Stand,False
207,213,None,False
214,214,Stand,False
215,215,Stand-Lie,True
216,219,Lie,True
220,220,Lie-Stand,False
221,223,Stand,False
224,229,None,False
230,230,Stand,False
231,231,Stand-Lie,True
232,232,Lie,True
233,233,Lie-Sit,False
234,236,Sit-Stand,False
237,237,Stand,False
238,239,Stand-Lie,False
240,240,Lie-Stand,False
241,243,Stand,False
244,249,None,False
250,250,Stand,False
251,251,Stand-Sit,False
252,257,Sit,False
258,258,Sit-Stand,False
259,265,Stand,False
266,270,None,False
271,272,Stand,False
273,284,None,False
285,285,Stand,False
286,286,Stand-Sit,False
287,291,Sit,False
292,292,Sit-Stand,False
293,296,Stand,False
297,298,Stand-Sit,False
299,302,Sit,False
303,303,Sit-Stand,False
304,305,Stand,False
306,306,Stand-Sit,False
307,311,Sit,False
312,312,Sit-Stand,False
313,313,Stand,False
314,314,Stand-Sit,False
315,315,Sit,False
316,317,Sit-Lie,False
318,321,Lie,False
322,323,Lie-Sit,False
324,324,Sit,False
325,325,Sit-Stand,False
326,328,Stand,False
329,333,None,False
334,334,Stand-Sit,False
335,335,Sit,False
336,336,Sit-Lie,False
337,343,Lie,False
344,344,Lie-Sit,False
345,345,Sit-Stand,False
346,355,Stand,False
356,356,Stand-Sit,False
357,357,Sit-Lie,False
358,366,Lie,False
367,367,Lie-Sit,False
368,369,Sit-Stand,False
370,375,Stand,False
376,377,Stand-Lie,False
378,382,Lie,False
383,383,Lie-Sit,False
384,384,Sit-Stand,False
385,386,Stand,False
387,390,None,False
391,391,Stand,False
392,392,Stand-Lie,True
393,395,Lie,True
396,396,Lie-Sit,False
397,397,Sit-Stand,False
398,400,Stand,False
401,405,None,False
406,406,Stand,False
407,407,Stand-Lie,True
408,411,Lie,True
412,412,Lie-Sit,False
413,413,Sit-Stand,False
414,415,Stand,False
416,421,None,False
422,422,Stand,False
423,423,Stand-Lie,True
424,426,Lie,True
427,427,Lie-Sit,False
428,428,Sit-Stand,False
429,430,Stand,False
431,434,None,False
