start_time,end_time,action,is_fall
0,11,None,False
12,24,Stand,False
25,27,None,False
28,32,Stand,False
33,41,None,False
42,91,Stand,False
92,93,Stand,False
94,95,Stand-Lie,True
96,98,Lie,True
99,100,Lie-Stand,False
101,111,Stand,False
112,112,Stand-Sit,False
113,115,Sit,False
116,116,Sit-Lie,False
116,116,Sit-Lie,False
117,147,Lie,False
148,148,Lie-Sit,False
149,149,Sit,False
150,150,Sit-Stand,False
151,151,Stand-Lie,True
152,154,Lie,True
155,156,Lie-Sit,False
157,157,Sit,False
158,158,Sit-Stand,False
159,159,Stand,False
160,160,Stand-Lie,True
161,164,Lie,True
165,165,Lie-Sit,False
166,167,Sit-Stand,False
168,253,Stand,False
254,254,Stand-Sit,False
255,259,Sit,False
260,261,Sit-Stand,False
262,264,Stand,False
265,269,None,False
270,289,None,False
290,292,None,False
293,293,Stand,False
294,294,Stand-Sit,False
295,300,Sit,False
301,301,Sit-Stand,False
302,303,Stand,False
304,310,None,False
311,317,Stand,False
318,321,None,False
322,336,Stand,False
337,338,Stand-Sit,False
339,342,Sit,False
343,343,Sit-Stand,False
344,345,Stand,False
346,346,Stand-Sit,False
347,350,Sit,False
351,351,Sit-Lie,False
352,356,Lie,False
357,357,Lie-Sit,False
358,358,Sit,False
359,359,Sit-Stand,False
360,360,Sit-Stand,False
361,361,Sit-Lie,False
362,372,Lie,False
373,373,Lie-Sit,False
374,376,Sit,False
377,377,Sit-Stand,False
378,378,Stand,False
379,387,None,False
