start_time,end_time,action,is_fall
0,3,None,False
4,16,Stand,False
17,17,Stand-Sit,False
18,19,Sit,False
20,24,Sit-Lie,False
25,25,Sit-Stand,False
26,32,Stand,False
32,36,None,False
37,46,Stand,False
47,47,Stand-Sit,False
48,53,Sit,False
54,55,Sit-Stand,False
56,59,Stand,False
60,60,Stand-Lie,True
61,63,Lie,True
64,64,Lie-Sit,False
65,65,Sit,False
66,66,Sit-Stand,False
67,72,Stand,False
73,73,Stand-Lie,True
74,76,Lie,True
77,77,Lie-Sit,False
78,78,Sit-Stand,False
79,84,Stand,False
85,85,Stand-Sit,False
86,86,Sit,False
87,88,Sit-Lie,False
89,92,Lie,False
93,93,Lie-Sit,False
94,94,Sit-Stand,False
95,108,Stand,False
109,113,None,False
114,124,Stand,False
125,127,None,False
