start_time,end_time,action,is_fall
0,3,None,False
4,6,Stand,False
7,17,None,False
18,22,Stand,False
23,23,Stand-Sit,False
24,27,Sit,False
28,28,Sit-Stand,False
29,30,Stand,False
31,31,Stand-Sit,False
32,38,Sit,False
39,39,Sit-Stand,False
40,42,Stand,False
43,43,Stand-Sit,False
44,48,Sit,False
49,49,Sit-Lie,False
50,55,Lie,False
56,56,Lie-Sit,False
57,58,Sit,False
59,59,Sit-Stand,False
60,63,Stand,False
63,75,None,False
76,78,Stand,False
79,79,Stand-Sit,False
80,81,Sit-Lie,False
82,84,Lie,False
85,86,Lie-Sit,False
87,87,Sit-Stand,False
88,90,Stand,False
91,92,Stand-Sit,False
93,97,Sit,False
98,98,Sit-Stand,False
99,103,Stand,False
104,115,None,False
116,119,Stand,False
120,120,Stand-Sit,False
121,121,Sit-Lie,False
122,123,Lie,False
124,124,Lie-Sit,False
125,125,Sit-Stand,False
126,128,Stand,False
129,131,None,False
132,133,Stand,False
134,134,Stand-Lie,True
135,136,Lie,True
137,137,Lie-Sit,False
138,138,Sit-Stand,False
139,142,Stand,False
143,148,None,False
