start_time,end_time,action,is_fall
0,3,None,False
4,5,Stand-Sit,False
6,9,Sit,False
10,10,Sit-Stand,False
11,11,Stand,False
12,15,None,False
16,19,Stand,False
20,20,Stand-Sit,False
21,28,Sit,False
29,29,Stand-Sit,False
30,34,Stand,False
34,34,Stand-Sit,False
35,40,Sit,False
41,41,Sit-Stand,False
42,43,Stand,False
44,44,Stand-Sit,False
45,47,Sit,False
48,48,Sit-Stand,False
49,56,Stand,False
57,57,Stand-Sit,False
58,58,Sit,False
59,59,Sit-Lie,False
60,63,Lie,False
64,64,Lie-Sit,False
65,67,Sit,False
68,68,Sit-Stand,False
69,69,Stand-Sit,False
70,70,Sit,False
71,71,Sit-Stand,False
72,72,Stand-Sit,True
73,73,Sit-Lie,True
74,74,Lie,True
75,75,Lie-Sit,False
76,76,Sit-Stand,False
77,82,Stand,False
83,84,Stand-Lie,True
85,86,Lie,True
87,88,Lie-Sit,False
89,89,Sit-Stand,False
90,93,Sit-Stand,False
94,95,None,False
96,97,Stand,False
99,99,None,False
100,101,Stand,False
102,102,Stand-Sit,False
103,107,Sit,False
108,108,Sit-Stand,False
109,115,Stand,False
115,122,None,False
123,125,Stand,False
126,126,Stand-Sit,False
127,130,Sit,False
131,131,Sit-Stand,False
132,135,Stand,False
132,135,Stand,False
136,142,None,False
