start_time,end_time,action,is_fall
0,7,None,False
8,27,Stand,False
28,28,Stand-Sit,False
28,28,Stand-Sit,False
29,32,Sit,False
33,33,Sit-Stand,False
34,43,Stand,False
44,44,Stand-Sit,False
45,49,Sit,False
50,50,Sit-Stand,False
51,60,Stand,False
61,61,Stand-Sit,False
62,62,Sit-Lie,False
63,67,Lie,False
68,68,Lie-Sit,False
69,69,Sit-Stand,False
70,74,Stand,False
75,75,Stand-Sit,False
76,76,Sit,False
77,77,Sit-Lie,False
78,82,Lie,False
83,83,Lie-Sit,False
84,84,Sit,False
85,85,Sit-Stand,False
86,87,Stand,False
88,88,Stand-Lie,True
89,90,Lie,True
91,91,Lie-Sit,False
92,92,Sit-Stand,False
93,96,Stand,False
97,97,Stand-Lie,True
98,99,Lie,True
100,100,Lie-Stand,False
101,104,Stand,False
105,105,Stand-Lie,True
106,106,Lie,True
107,107,Lie-Sit,False
108,108,Sit,False
109,109,Sit-Stand,False
110,121,Stand,False
122,122,Stand-Sit,False
123,126,Sit,False
127,127,Sit-Lie,True
129,129,Lie,True
130,132,Lie-Stand,False
133,138,Stand,False
139,139,Stand-Lie,True
140,140,Lie,True
141,141,Lie-Sit,True
142,144,Sit-Stand,False
145,157,Stand,False
158,158,Stand-Sit,False
159,165,Sit,False
166,166,Sit-Stand,False
167,167,Stand-Lie,True
168,171,Lie,True
172,172,Lie-Sit,False
173,180,Sit,False
181,181,Sit-Stand,False
182,211,Stand,False
212,212,Stand-Sit,False
213,213,Sit,False
214,214,Sit-Lie,False
215,220,Lie,False
221,221,Lie-Sit,False
222,223,Sit-Stand,False
224,229,Stand,False
230,234,None,False
